Timestamp,Email Address,Your CS Login,Github Username,Discord,(optional) Partner CS Login,(optional) Partner Github Login,(optional) partner discord login,Check all mentor meeting slots for which you will be available each week of Project 2
7/25/2021,bjespera@springer.com,bconrada,lgrenkova,emattona,,,,"Tues 6:00pm - 6:15pm, Tues 8:00pm - 8:15pm, Weds 5:00pm - 5:15pm, Weds 7:40pm - 7:55pm, Weds 2:20pm - 2:35pm, Weds 2:40pm - 2:55pm, Weds 5:40pm - 5:55pm, Weds 8:20pm - 8:35pm, Weds 9:40pm - 9:55pm, Weds 8:00pm - 8:15pm, Weds 7:20pm - 7:35pm, Tues 7:00pm - 7:15pm, Tues 7:20pm - 7:35pm, Tues 6:20pm - 6:35pm, Tues 11:20am - 11:35am, Tues 8:20pm - 8:35pm, Tues 10:00am - 10:15am, Tues 6:40pm - 6:55pm, Tues 5:10pm - 5:25pm, Weds 7:00pm - 7:15pm, Tues 4:30pm - 4:45pm"
5/22/2021,atejerob@blog.com,hjosupeitb,nparadeb,garlottb,,,,"Weds 2:20pm - 2:35pm, Weds 5:40pm - 5:55pm, Weds 7:00pm - 7:15pm, Weds 8:20pm - 8:35pm, Weds 8:00pm - 8:15pm, Tues 4:50pm - 5:05pm, Tues 4:30pm - 4:45pm, Tues 7:40pm - 7:55pm, Weds 9:00pm - 9:15pm"
4/19/2021,abrightyc@elegantthemes.com,clelloc,vsneydc,rstreetingc,,,,"Weds 5:00pm - 5:15pm, Tues 7:40pm - 7:55pm, Weds 8:40pm - 8:55pm, Tues 6:00pm - 6:15pm, Tues 10:40am - 10:55am"
3/5/2021,akittlessd@mayoclinic.com,brodied,strippettd,mravenscraftd,,,,"Tues 10:40am - 10:55am, Tues 4:50pm - 5:05pm, Weds 8:20pm - 8:35pm, Tues 5:10pm - 5:25pm, Tues 11:00am - 11:15am, Weds 8:00pm - 8:15pm, Tues 7:00pm - 7:15pm, Tues 8:00pm - 8:15pm"
10/12/2021,arultone@plala.or.jp,kgambline,edragoee,aswannacke,,,,"Weds 2:20pm - 2:35pm, Weds 8:00pm - 8:15pm, Weds 5:00pm - 5:15pm, Tues 7:00pm - 7:15pm, Weds 9:40pm - 9:55pm, Weds 2:40pm - 2:55pm"
12/13/2021,hkovnotf@nhs.uk,sleverittf,cstrandf,abartolomivisf,,,,"Tues 6:20pm - 6:35pm, Tues 10:20am - 10:35am, Tues 5:10pm - 5:25pm, Tues 7:20pm - 7:35pm, Weds 7:20pm - 7:35pm, Weds 2:20pm - 2:35pm, Tues 8:00pm - 8:15pm, Tues 11:00am - 11:15am, Tues 6:40pm - 6:55pm, Tues 4:30pm - 4:45pm, Tues 10:40am - 10:55am, Tues 8:20pm - 8:35pm, Weds 9:00pm - 9:15pm, Weds 5:00pm - 5:15pm, Tues 11:20am - 11:35am, Tues 5:10pm - 5:25pm, Tues 8:40pm - 8:55pm"
10/10/2021,jgodboldg@earthlink.net,ydreinang,wkolakg,kmcgloing,,,,"Weds 8:00pm - 8:15pm, Tues 6:20pm - 6:35pm, Weds 5:00pm - 5:15pm, Tues 7:00pm - 7:15pm, Tues 7:40pm - 7:55pm"
8/26/2021,bvainesh@g.co,njacksonh,rclimpsonh,rchristinh,zmusgroveh,arakeh,rrowesbyh,"Tues 6:00pm - 6:15pm, Tues 8:20pm - 8:35pm"
3/5/2021,sdrydalei@vk.com,tlydoni,zthurstani,bfinnani,nivoryi,basquithi,ccorlessi,"Weds 2:40pm - 2:55pm, Tues 10:00am - 10:15am, Weds 7:20pm - 7:35pm"
1/7/2022,aioannouj@mac.com,ntolmanj,mmcanalleyj,tsmailej,,,,"Tues 10:40am - 10:55am, Tues 11:00am - 11:15am, Weds 8:40pm - 8:55pm, Tues 7:00pm - 7:15pm, Tues 6:40pm - 6:55pm, Weds 2:00pm - 2:15pm, Weds 8:20pm - 8:35pm, Tues 8:00pm - 8:15pm, Weds 9:00pm - 9:15pm, Tues 4:30pm - 4:45pm"
12/23/2021,adewickek@ftc.gov,cdeevesk,cpiattok,aannionk,,,,"Tues 11:20am - 11:35am, Weds 9:00pm - 9:15pm, Tues 7:40pm - 7:55pm, Tues 8:20pm - 8:35pm, Tues 4:30pm - 4:45pm, Weds 2:40pm - 2:55pm"
11/27/2021,echessill@mediafire.com,kvicaryl,lbinnelll,agraberl,,,,"Weds 5:20pm - 5:35pm, Tues 11:00am - 11:15am, Tues 10:40am - 10:55am, Weds 9:00pm - 9:15pm, Tues 11:20am - 11:35am, Tues 6:40pm - 6:55pm, Tues 8:20pm - 8:35pm, Weds 9:40pm - 9:55pm, Tues 4:50pm - 5:05pm, Tues 10:00am - 10:15am, Tues 4:30pm - 4:45pm, Tues 5:10pm - 5:25pm, Tues 7:20pm - 7:35pm, Weds 2:20pm - 2:35pm, Weds 7:40pm - 7:55pm"
1/18/2022,bscuddersm@tiny.cc,sjakoubm,bcolleerm,cringem,,,,"Tues 7:00pm - 7:15pm, Weds 8:20pm - 8:35pm, Tues 10:40am - 10:55am, Weds 2:00pm - 2:15pm, Tues 4:30pm - 4:45pm, Weds 7:40pm - 7:55pm, Tues 6:40pm - 6:55pm, Weds 5:20pm - 5:35pm, Tues 6:20pm - 6:35pm, Tues 10:20am - 10:35am, Tues 7:40pm - 7:55pm, Weds 5:40pm - 5:55pm"
1/4/2022,wsirrelln@china.com.cn,cpoulglaisn,clecountn,rsloyn,,,,"Weds 9:00pm - 9:15pm, Tues 7:20pm - 7:35pm, Tues 4:30pm - 4:45pm, Tues 8:40pm - 8:55pm, Weds 8:00pm - 8:15pm, Weds 5:20pm - 5:35pm, Tues 6:00pm - 6:15pm, Weds 2:20pm - 2:35pm, Weds 7:40pm - 7:55pm, Weds 2:00pm - 2:15pm, Tues 8:20pm - 8:35pm, Tues 6:20pm - 6:35pm, Weds 9:20pm - 9:35pm, Weds 5:00pm - 5:15pm, Weds 5:40pm - 5:55pm, Tues 11:20am - 11:35am, Tues 4:50pm - 5:05pm, Tues 10:40am - 10:55am, Weds 8:40pm - 8:55pm, Weds 2:40pm - 2:55pm"
12/2/2021,lledgewayo@g.co,vlivezleyo,ngarrico,pdahlgreno,jbeminstero,crickwoodo,hcarryero,Tues 7:00pm - 7:15pm
7/29/2021,mclossp@hhs.gov,talfwyp,fdallonp,jkemerp,,,,"Weds 5:00pm - 5:15pm, Weds 8:20pm - 8:35pm, Tues 6:20pm - 6:35pm, Tues 7:20pm - 7:35pm, Tues 6:40pm - 6:55pm, Weds 7:20pm - 7:35pm, Weds 2:40pm - 2:55pm, Tues 5:10pm - 5:25pm"
8/10/2021,egaenorq@umich.edu,eguideraq,hvyelq,planneyq,,,,"Weds 7:00pm - 7:15pm, Tues 10:00am - 10:15am, Tues 10:40am - 10:55am, Tues 5:10pm - 5:25pm, Tues 4:30pm - 4:45pm, Tues 7:40pm - 7:55pm, Tues 7:00pm - 7:15pm, Weds 2:00pm - 2:15pm, Weds 9:00pm - 9:15pm, Weds 5:40pm - 5:55pm, Weds 9:20pm - 9:35pm, Tues 11:20am - 11:35am, Weds 5:20pm - 5:35pm, Weds 8:00pm - 8:15pm, Weds 5:00pm - 5:15pm, Weds 8:40pm - 8:55pm, Tues 5:10pm - 5:25pm, Tues 8:20pm - 8:35pm, Weds 2:20pm - 2:35pm, Tues 11:00am - 11:15am, Tues 7:20pm - 7:35pm, Tues 6:40pm - 6:55pm, Weds 7:40pm - 7:55pm, Weds 7:20pm - 7:35pm, Weds 9:40pm - 9:55pm"
4/1/2021,ocowtherdr@multiply.com,nsellmanr,ltallynr,hantalr,,,,"Weds 9:20pm - 9:35pm, Tues 10:20am - 10:35am, Weds 2:20pm - 2:35pm"
4/25/2021,icarneys@sfgate.com,gfauschs,dsherans,jpettss,,,,"Weds 7:40pm - 7:55pm, Weds 2:20pm - 2:35pm, Weds 2:40pm - 2:55pm, Weds 9:40pm - 9:55pm, Tues 8:40pm - 8:55pm, Tues 7:00pm - 7:15pm, Tues 4:30pm - 4:45pm, Tues 4:50pm - 5:05pm, Tues 10:40am - 10:55am, Weds 8:20pm - 8:35pm, Tues 5:10pm - 5:25pm, Weds 7:20pm - 7:35pm, Tues 6:20pm - 6:35pm, Tues 8:00pm - 8:15pm, Weds 2:00pm - 2:15pm, Tues 8:20pm - 8:35pm, Tues 5:10pm - 5:25pm"
5/10/2021,breallyt@smh.com.au,xbordest,mstockingt,bdespensert,,,,"Weds 9:00pm - 9:15pm, Weds 8:00pm - 8:15pm, Tues 6:00pm - 6:15pm, Tues 11:00am - 11:15am, Weds 8:40pm - 8:55pm, Weds 2:00pm - 2:15pm, Tues 8:20pm - 8:35pm"
2/2/2022,cduranu@tamu.edu,jbaistowu,ccausonu,mscolliu,abrownettu,kmarstersu,aeckfordu,"Tues 5:10pm - 5:25pm, Weds 8:20pm - 8:35pm, Weds 5:20pm - 5:35pm, Tues 4:50pm - 5:05pm, Weds 8:40pm - 8:55pm, Weds 2:20pm - 2:35pm, Weds 2:00pm - 2:15pm, Tues 8:40pm - 8:55pm, Tues 7:40pm - 7:55pm, Tues 6:40pm - 6:55pm, Tues 5:10pm - 5:25pm, Weds 2:40pm - 2:55pm, Tues 7:00pm - 7:15pm"
7/11/2021,ahoviev@sakura.ne.jp,lananv,keddowisv,tcaddellv,,,,Tues 10:00am - 10:15am
6/14/2021,qdebeauchempw@seesaa.net,twishartw,drahlofw,mbodmanw,,,,"Tues 10:40am - 10:55am, Tues 11:00am - 11:15am, Weds 2:00pm - 2:15pm, Weds 2:20pm - 2:35pm, Weds 9:00pm - 9:15pm, Tues 6:20pm - 6:35pm, Weds 8:40pm - 8:55pm, Tues 7:20pm - 7:35pm, Weds 5:40pm - 5:55pm"
12/22/2021,bmathoux@state.gov,jbenx,dkedwardx,ccajklerx,,,,"Weds 2:40pm - 2:55pm, Tues 10:00am - 10:15am, Weds 9:00pm - 9:15pm, Tues 11:20am - 11:35am, Weds 5:40pm - 5:55pm, Tues 7:40pm - 7:55pm, Tues 8:20pm - 8:35pm, Tues 8:40pm - 8:55pm, Weds 2:00pm - 2:15pm, Weds 2:20pm - 2:35pm, Weds 8:20pm - 8:35pm, Weds 5:00pm - 5:15pm, Tues 6:00pm - 6:15pm, Weds 9:40pm - 9:55pm, Weds 7:20pm - 7:35pm, Weds 8:40pm - 8:55pm, Tues 4:30pm - 4:45pm, Tues 6:40pm - 6:55pm, Weds 7:00pm - 7:15pm, Tues 10:40am - 10:55am, Tues 4:50pm - 5:05pm, Weds 8:00pm - 8:15pm, Weds 5:20pm - 5:35pm, Tues 5:10pm - 5:25pm"
3/4/2021,ggowrichy@wikimedia.org,nlillecrapy,awickesy,croggeroney,mdelley,lgoardy,spheary,"Tues 6:40pm - 6:55pm, Tues 10:20am - 10:35am, Tues 8:20pm - 8:35pm, Tues 7:40pm - 7:55pm"
8/29/2021,pbadenz@hc360.com,hblunderfieldz,hivanonkoz,teasemanz,,,,"Weds 9:20pm - 9:35pm, Tues 6:40pm - 6:55pm, Tues 8:20pm - 8:35pm, Weds 7:40pm - 7:55pm"
7/13/2021,gperillio10@house.gov,bmcardell10,khawkyens10,mpittway10,rhuyhton10,jdiver10,awayman10,"Weds 8:20pm - 8:35pm, Weds 5:40pm - 5:55pm, Weds 2:00pm - 2:15pm, Weds 8:40pm - 8:55pm, Weds 2:20pm - 2:35pm, Tues 4:30pm - 4:45pm, Tues 5:10pm - 5:25pm, Tues 6:40pm - 6:55pm, Tues 7:20pm - 7:35pm"
1/5/2022,zwybern11@wordpress.org,twingfield11,hmullally11,ccaplen11,,,,"Weds 7:20pm - 7:35pm, Tues 7:00pm - 7:15pm, Weds 5:20pm - 5:35pm, Weds 2:20pm - 2:35pm, Weds 9:20pm - 9:35pm, Tues 5:10pm - 5:25pm"
12/27/2021,ahordell12@ucsd.edu,ssinkin12,rrorke12,habramovici12,,,,"Weds 5:20pm - 5:35pm, Tues 5:10pm - 5:25pm, Tues 7:00pm - 7:15pm, Tues 7:20pm - 7:35pm, Weds 5:40pm - 5:55pm, Tues 10:40am - 10:55am, Tues 6:00pm - 6:15pm, Tues 6:40pm - 6:55pm, Tues 7:40pm - 7:55pm, Weds 7:40pm - 7:55pm, Weds 8:20pm - 8:35pm, Tues 10:00am - 10:15am"
7/14/2021,hjumonet13@fema.gov,kireson13,trosekilly13,atudhope13,chuffey13,dgianetti13,wjulian13,"Tues 10:40am - 10:55am, Weds 5:40pm - 5:55pm, Weds 8:00pm - 8:15pm, Weds 7:20pm - 7:35pm, Tues 8:40pm - 8:55pm, Tues 5:10pm - 5:25pm, Tues 11:00am - 11:15am, Tues 6:40pm - 6:55pm, Weds 9:20pm - 9:35pm, Weds 2:40pm - 2:55pm, Tues 8:20pm - 8:35pm, Tues 6:00pm - 6:15pm, Weds 9:00pm - 9:15pm, Weds 5:00pm - 5:15pm, Tues 10:20am - 10:35am, Tues 8:00pm - 8:15pm, Tues 11:20am - 11:35am, Weds 5:20pm - 5:35pm, Weds 8:20pm - 8:35pm, Weds 9:40pm - 9:55pm, Tues 5:10pm - 5:25pm, Tues 6:20pm - 6:35pm, Tues 7:20pm - 7:35pm, Tues 7:40pm - 7:55pm, Tues 7:00pm - 7:15pm"
7/14/2021,tgerardeaux14@tmall.com,tsiward14,marrundale14,ljosilowski14,,,,"Tues 8:00pm - 8:15pm, Weds 9:20pm - 9:35pm, Weds 9:40pm - 9:55pm, Weds 2:40pm - 2:55pm"
7/15/2021,ccarlsen15@about.com,aboshers15,astayt15,aarderne15,,,,"Weds 7:20pm - 7:35pm, Tues 7:00pm - 7:15pm, Tues 7:20pm - 7:35pm, Weds 7:00pm - 7:15pm, Weds 2:00pm - 2:15pm, Tues 10:40am - 10:55am, Tues 8:20pm - 8:35pm, Weds 8:20pm - 8:35pm, Tues 5:10pm - 5:25pm, Weds 9:40pm - 9:55pm, Tues 8:40pm - 8:55pm, Weds 5:00pm - 5:15pm, Tues 7:40pm - 7:55pm, Tues 6:20pm - 6:35pm, Tues 11:20am - 11:35am, Weds 9:20pm - 9:35pm, Weds 5:40pm - 5:55pm, Tues 5:10pm - 5:25pm, Weds 5:20pm - 5:35pm, Tues 6:00pm - 6:15pm, Tues 4:30pm - 4:45pm"
10/4/2021,eadkins16@youtu.be,vtaks16,zluckham16,qgiddins16,fbarnewall16,pbothbie16,ufaldoe16,"Tues 8:20pm - 8:35pm, Tues 6:40pm - 6:55pm, Weds 7:00pm - 7:15pm, Tues 7:40pm - 7:55pm, Weds 7:40pm - 7:55pm, Tues 8:40pm - 8:55pm, Weds 9:00pm - 9:15pm, Tues 5:10pm - 5:25pm, Weds 7:20pm - 7:35pm, Tues 10:20am - 10:35am, Tues 4:30pm - 4:45pm, Tues 10:00am - 10:15am, Weds 2:20pm - 2:35pm, Tues 8:00pm - 8:15pm, Tues 7:00pm - 7:15pm, Tues 7:20pm - 7:35pm"
6/15/2021,mdanielkiewicz17@ox.ac.uk,rlello17,druprich17,dfilipychev17,lbrussell17,mmcelrath17,kburchard17,"Tues 6:20pm - 6:35pm, Tues 10:20am - 10:35am, Weds 7:40pm - 7:55pm, Weds 9:20pm - 9:35pm, Weds 7:00pm - 7:15pm, Tues 7:20pm - 7:35pm, Tues 7:00pm - 7:15pm, Tues 6:00pm - 6:15pm, Tues 11:20am - 11:35am, Weds 5:20pm - 5:35pm, Weds 7:20pm - 7:35pm, Tues 7:40pm - 7:55pm, Tues 5:10pm - 5:25pm, Weds 5:00pm - 5:15pm"
3/1/2021,egreeve18@census.gov,cbonnefin18,fmongenot18,rverlander18,,,,"Weds 8:40pm - 8:55pm, Weds 5:20pm - 5:35pm, Tues 4:50pm - 5:05pm, Tues 6:40pm - 6:55pm"
4/14/2021,cbrimm19@nyu.edu,ebalcock19,dberthelet19,mrobelow19,,,,"Weds 7:00pm - 7:15pm, Tues 4:50pm - 5:05pm, Tues 6:00pm - 6:15pm, Weds 7:20pm - 7:35pm, Tues 7:00pm - 7:15pm, Tues 6:40pm - 6:55pm, Tues 7:20pm - 7:35pm, Tues 8:20pm - 8:35pm, Tues 8:40pm - 8:55pm, Tues 4:30pm - 4:45pm, Weds 2:20pm - 2:35pm, Tues 7:40pm - 7:55pm, Tues 10:00am - 10:15am, Weds 9:20pm - 9:35pm, Tues 10:20am - 10:35am, Tues 6:20pm - 6:35pm, Weds 9:00pm - 9:15pm"
1/7/2022,adarrell1a@senate.gov,gcothey1a,ahunnam1a,cmessingham1a,,,,"Weds 9:00pm - 9:15pm, Weds 8:40pm - 8:55pm, Tues 4:30pm - 4:45pm, Tues 6:40pm - 6:55pm, Tues 10:00am - 10:15am, Weds 8:20pm - 8:35pm, Weds 7:40pm - 7:55pm, Tues 7:20pm - 7:35pm, Tues 6:20pm - 6:35pm, Weds 2:00pm - 2:15pm, Weds 9:20pm - 9:35pm, Tues 10:20am - 10:35am, Tues 8:40pm - 8:55pm, Tues 7:00pm - 7:15pm, Weds 8:00pm - 8:15pm, Weds 9:40pm - 9:55pm, Tues 5:10pm - 5:25pm, Tues 8:20pm - 8:35pm, Weds 5:20pm - 5:35pm, Tues 11:20am - 11:35am, Tues 5:10pm - 5:25pm"
8/18/2021,agregoratti1b@nbcnews.com,wmedwell1b,kmccrossan1b,adymick1b,,,,Weds 9:20pm - 9:35pm
12/19/2021,lsecretan1c@phpbb.com,kimmins1c,cwilleson1c,ahegden1c,,,,"Weds 8:40pm - 8:55pm, Tues 8:00pm - 8:15pm, Weds 7:40pm - 7:55pm, Weds 5:00pm - 5:15pm, Tues 6:20pm - 6:35pm, Tues 7:20pm - 7:35pm, Weds 9:40pm - 9:55pm, Tues 5:10pm - 5:25pm, Weds 2:20pm - 2:35pm, Weds 7:20pm - 7:35pm, Tues 5:10pm - 5:25pm, Tues 10:40am - 10:55am, Tues 6:40pm - 6:55pm, Weds 2:40pm - 2:55pm, Weds 9:20pm - 9:35pm, Tues 4:30pm - 4:45pm, Weds 8:20pm - 8:35pm, Tues 7:40pm - 7:55pm"
7/1/2021,adaniel1d@amazon.com,ztoombs1d,rvarfolomeev1d,ctoor1d,,,,"Weds 8:20pm - 8:35pm, Tues 5:10pm - 5:25pm, Weds 7:20pm - 7:35pm, Weds 8:40pm - 8:55pm, Tues 7:40pm - 7:55pm, Weds 7:40pm - 7:55pm, Tues 10:00am - 10:15am, Weds 2:20pm - 2:35pm, Tues 11:20am - 11:35am, Tues 11:00am - 11:15am, Tues 8:40pm - 8:55pm, Tues 10:40am - 10:55am, Tues 10:20am - 10:35am, Tues 6:20pm - 6:35pm, Tues 5:10pm - 5:25pm, Tues 4:30pm - 4:45pm, Weds 9:00pm - 9:15pm, Weds 7:00pm - 7:15pm"
9/18/2021,gturville1e@youtu.be,amaudlin1e,agawthorp1e,bkhalid1e,,,,"Tues 4:50pm - 5:05pm, Tues 6:40pm - 6:55pm, Weds 7:20pm - 7:35pm, Tues 7:00pm - 7:15pm"
5/10/2021,hbowling1f@quantcast.com,hhayle1f,ecancutt1f,jboarer1f,,,,"Weds 2:20pm - 2:35pm, Weds 8:20pm - 8:35pm, Weds 5:40pm - 5:55pm, Weds 2:00pm - 2:15pm, Weds 5:00pm - 5:15pm, Tues 6:40pm - 6:55pm, Tues 7:20pm - 7:35pm, Tues 7:40pm - 7:55pm, Tues 10:20am - 10:35am, Tues 8:20pm - 8:35pm, Tues 4:30pm - 4:45pm, Tues 10:40am - 10:55am, Weds 5:20pm - 5:35pm, Tues 4:50pm - 5:05pm, Tues 7:00pm - 7:15pm, Weds 2:40pm - 2:55pm, Tues 11:20am - 11:35am, Weds 9:00pm - 9:15pm, Weds 9:40pm - 9:55pm, Tues 6:00pm - 6:15pm, Weds 8:40pm - 8:55pm, Tues 11:00am - 11:15am"
6/26/2021,wbullard1g@youtu.be,bsaiger1g,abarten1g,otuckie1g,,,,"Weds 2:40pm - 2:55pm, Tues 10:40am - 10:55am, Tues 5:10pm - 5:25pm, Tues 10:00am - 10:15am, Weds 5:40pm - 5:55pm, Tues 8:20pm - 8:35pm, Tues 4:50pm - 5:05pm, Weds 7:40pm - 7:55pm, Weds 9:20pm - 9:35pm, Tues 10:20am - 10:35am, Tues 6:00pm - 6:15pm, Weds 8:40pm - 8:55pm, Weds 7:20pm - 7:35pm, Weds 8:00pm - 8:15pm, Weds 9:40pm - 9:55pm, Tues 6:40pm - 6:55pm, Tues 8:40pm - 8:55pm, Tues 6:20pm - 6:35pm, Tues 4:30pm - 4:45pm, Tues 8:00pm - 8:15pm, Weds 5:20pm - 5:35pm, Tues 5:10pm - 5:25pm"
2/18/2022,baberdalgy1h@mediafire.com,dwinsome1h,kspalton1h,imciver1h,jhoyte1h,nowbrick1h,tmedcraft1h,"Tues 6:40pm - 6:55pm, Tues 8:20pm - 8:35pm, Tues 6:20pm - 6:35pm, Tues 11:20am - 11:35am, Tues 7:20pm - 7:35pm, Tues 6:00pm - 6:15pm, Tues 5:10pm - 5:25pm, Tues 5:10pm - 5:25pm, Weds 7:20pm - 7:35pm, Tues 8:40pm - 8:55pm, Weds 2:20pm - 2:35pm, Tues 10:40am - 10:55am, Tues 7:40pm - 7:55pm, Weds 5:40pm - 5:55pm, Weds 2:00pm - 2:15pm, Tues 10:00am - 10:15am, Weds 9:40pm - 9:55pm, Weds 2:40pm - 2:55pm, Tues 11:00am - 11:15am, Weds 5:00pm - 5:15pm, Weds 9:20pm - 9:35pm, Tues 4:30pm - 4:45pm, Weds 7:00pm - 7:15pm"
4/22/2021,jscole1i@gizmodo.com,lclacey1i,dstears1i,abazely1i,,,,"Tues 7:40pm - 7:55pm, Weds 7:20pm - 7:35pm, Tues 4:30pm - 4:45pm, Tues 11:20am - 11:35am, Weds 7:00pm - 7:15pm, Tues 6:20pm - 6:35pm, Tues 11:00am - 11:15am, Weds 2:20pm - 2:35pm, Tues 8:20pm - 8:35pm, Tues 10:00am - 10:15am, Tues 4:50pm - 5:05pm, Tues 6:40pm - 6:55pm, Weds 9:00pm - 9:15pm, Tues 8:00pm - 8:15pm"
10/16/2021,asillwood1j@freewebs.com,awoodbridge1j,kmuddle1j,tsikorski1j,,,,"Tues 10:00am - 10:15am, Tues 5:10pm - 5:25pm, Tues 10:20am - 10:35am, Tues 4:30pm - 4:45pm, Tues 8:00pm - 8:15pm, Tues 7:00pm - 7:15pm, Tues 6:40pm - 6:55pm, Tues 6:20pm - 6:35pm, Weds 2:00pm - 2:15pm, Weds 9:20pm - 9:35pm, Weds 7:20pm - 7:35pm"
