Timestamp,Email Address,Partner 1 - CS Login,Partner 1 - Github Username,Partner 1 - Discord Username,Partner 2 - CS Login,Partner 2 - Github Username,Partner 2 - Discord Username,Partner 3 - CS Login,Partner 3 - Github Username,Partner 3 - Discord Username,Check all mentor meeting slots for which your entire group will be available each week of Project 2
8/11/2021,cleborgnea@vinaora.com,etunnicka,fnormansella,nwaugha,pstearna,glesmondea,jdesaura,sberceveloa,dlinfielda,spetrielloa,"Tues 11:00am - 11:15am, Weds 5:00pm - 5:15pm, Weds 2:00pm - 2:15pm, Tues 8:20pm - 8:35pm, Tues 10:20am - 10:35am, Weds 5:20pm - 5:35pm, Weds 2:40pm - 2:55pm"
5/18/2021,jdyballb@sina.com.cn,hhalsob,acrossanb,bkleinmannb,ldormanb,jahmedb,aantunezb,hbrandenbergb,ygiovanettib,wcapelenb,"Tues 10:20am - 10:35am, Tues 11:20am - 11:35am, Weds 8:00pm - 8:15pm, Tues 4:50pm - 5:05pm, Tues 8:00pm - 8:15pm, Weds 5:40pm - 5:55pm, Weds 2:40pm - 2:55pm, Weds 8:40pm - 8:55pm, Tues 8:40pm - 8:55pm, Weds 9:00pm - 9:15pm, Tues 10:00am - 10:15am, Weds 9:40pm - 9:55pm, Tues 6:40pm - 6:55pm"
10/23/2021,jferreoc@sbwire.com,zshippamc,iscarrisbrickc,mchifneyc,bhearlc,mbowfinc,crichensc,vlafayec,pdecristoforoc,bbadrickc,"Weds 8:20pm - 8:35pm, Weds 9:40pm - 9:55pm, Weds 8:40pm - 8:55pm, Weds 5:00pm - 5:15pm, Tues 11:00am - 11:15am, Weds 7:40pm - 7:55pm, Tues 7:00pm - 7:15pm, Weds 9:20pm - 9:35pm, Tues 10:40am - 10:55am, Tues 7:20pm - 7:35pm, Tues 6:40pm - 6:55pm"
7/19/2021,ndimblebyd@google.it,cdriuttid,laugustined,lbureld,ncallissd,cjohnceyd,salenind,cbleythingd,lboolsend,dleithharveyd,"Tues 6:00pm - 6:15pm, Weds 5:20pm - 5:35pm, Weds 9:20pm - 9:35pm, Weds 2:20pm - 2:35pm, Tues 5:10pm - 5:25pm, Weds 7:20pm - 7:35pm, Weds 9:00pm - 9:15pm, Weds 8:40pm - 8:55pm, Tues 4:50pm - 5:05pm, Tues 10:00am - 10:15am"
1/4/2022,dbugdene@nymag.com,cmargrette,hwylde,sdillicatee,ljaffrae,mnencie,dbastonee,ccraydone,ssiveyere,bdonne,"Weds 8:20pm - 8:35pm, Tues 6:00pm - 6:15pm, Tues 7:20pm - 7:35pm, Weds 2:40pm - 2:55pm, Tues 10:00am - 10:15am, Weds 8:00pm - 8:15pm, Weds 2:20pm - 2:35pm, Weds 9:20pm - 9:35pm, Tues 6:40pm - 6:55pm, Tues 7:00pm - 7:15pm, Weds 9:00pm - 9:15pm"
9/22/2021,rforlongef@wix.com,mwytchardf,gwillshawf,lgerdtsf,otopesf,spidgeonf,rgertzf,ndurnof,jteligaf,ldumpletonf,Weds 8:20pm - 8:35pm
6/14/2021,tbargeg@wordpress.org,rcausbeyg,jamyesg,mlotsg,lcristofolinig,sbrimacombeg,lskeeng,rthebesg,cgokesg,abusseg,"Weds 8:00pm - 8:15pm, Tues 7:00pm - 7:15pm, Weds 5:00pm - 5:15pm, Weds 2:00pm - 2:15pm, Tues 7:40pm - 7:55pm, Tues 6:20pm - 6:35pm, Tues 8:00pm - 8:15pm, Tues 11:20am - 11:35am, Weds 2:40pm - 2:55pm, Weds 8:20pm - 8:35pm, Tues 10:20am - 10:35am, Tues 5:10pm - 5:25pm, Tues 4:30pm - 4:45pm, Weds 2:20pm - 2:35pm, Tues 6:00pm - 6:15pm, Tues 7:20pm - 7:35pm, Weds 9:00pm - 9:15pm, Tues 11:00am - 11:15am, Tues 4:50pm - 5:05pm, Weds 7:20pm - 7:35pm, Weds 7:00pm - 7:15pm, Tues 8:20pm - 8:35pm, Weds 7:40pm - 7:55pm, Weds 9:20pm - 9:35pm, Tues 5:10pm - 5:25pm"
1/11/2022,gfosdykeh@myspace.com,dscottinih,rdegiorgish,bpoltoneh,dfaithfullh,psterrickh,amulvaneyh,lchsteneyh,hwhitelockh,igetshamh,"Tues 7:40pm - 7:55pm, Weds 5:40pm - 5:55pm"
6/21/2021,acampbelli@furl.net,abyrthi,ahellmorei,adeportei,dhaywoodi,bsperlingi,jhanselmanni,kantoniadesi,bmilazzoi,rmurpheyi,"Tues 11:20am - 11:35am, Tues 4:30pm - 4:45pm"
5/12/2021,lcrowchj@1688.com,hcowlandj,jgynnij,xskymej,cmacgraghj,aboscherj,awellbelovedj,tlamportj,skoppesj,sbushnellj,"Weds 8:40pm - 8:55pm, Weds 9:40pm - 9:55pm, Tues 11:00am - 11:15am, Tues 10:40am - 10:55am, Tues 10:00am - 10:15am, Weds 5:00pm - 5:15pm, Weds 7:00pm - 7:15pm, Tues 6:20pm - 6:35pm, Tues 7:40pm - 7:55pm, Weds 9:20pm - 9:35pm, Weds 9:00pm - 9:15pm, Weds 2:00pm - 2:15pm, Weds 8:20pm - 8:35pm, Weds 2:40pm - 2:55pm, Tues 6:40pm - 6:55pm, Tues 6:00pm - 6:15pm, Tues 11:20am - 11:35am, Tues 5:10pm - 5:25pm, Tues 7:00pm - 7:15pm, Tues 5:10pm - 5:25pm, Tues 8:20pm - 8:35pm, Tues 4:30pm - 4:45pm, Tues 4:50pm - 5:05pm, Weds 5:40pm - 5:55pm, Tues 10:20am - 10:35am"
12/24/2021,byockleyk@bizjournals.com,gsivillk,dwroathk,jnuttonk,tolink,svannk,fcumminsk,cpratleyk,egalgeyk,jsurgeyk,"Weds 7:40pm - 7:55pm, Tues 8:00pm - 8:15pm, Weds 9:40pm - 9:55pm, Weds 9:00pm - 9:15pm, Weds 7:20pm - 7:35pm, Tues 5:10pm - 5:25pm, Weds 9:20pm - 9:35pm, Weds 2:20pm - 2:35pm, Tues 7:00pm - 7:15pm, Weds 5:40pm - 5:55pm, Weds 2:40pm - 2:55pm, Tues 7:40pm - 7:55pm, Tues 5:10pm - 5:25pm, Tues 8:20pm - 8:35pm, Tues 6:40pm - 6:55pm, Weds 7:00pm - 7:15pm, Weds 8:00pm - 8:15pm, Tues 4:30pm - 4:45pm, Weds 2:00pm - 2:15pm"
12/27/2021,gkubinl@wufoo.com,aobyrnel,bhillingl,cgerishl,hrokel,fchurchwardl,alinnyl,gbransdonl,cedessl,lwalcarl,"Tues 10:00am - 10:15am, Tues 7:00pm - 7:15pm, Weds 8:20pm - 8:35pm, Tues 7:20pm - 7:35pm, Tues 7:40pm - 7:55pm, Weds 8:40pm - 8:55pm, Tues 10:20am - 10:35am, Tues 8:20pm - 8:35pm, Weds 2:40pm - 2:55pm, Weds 7:20pm - 7:35pm, Weds 2:00pm - 2:15pm, Weds 8:00pm - 8:15pm, Weds 9:00pm - 9:15pm, Tues 6:40pm - 6:55pm"
2/28/2022,lbassanom@seattletimes.com,wtubridym,tfriem,gdreierm,rgaukrodgem,ltarquiniom,ksedcolem,rcarnihanm,agurerym,bsharnockm,"Weds 7:40pm - 7:55pm, Weds 5:00pm - 5:15pm, Tues 11:20am - 11:35am, Weds 2:20pm - 2:35pm, Tues 7:20pm - 7:35pm, Tues 8:40pm - 8:55pm, Tues 10:20am - 10:35am, Weds 7:00pm - 7:15pm, Tues 8:20pm - 8:35pm, Tues 10:00am - 10:15am, Tues 5:10pm - 5:25pm, Weds 9:20pm - 9:35pm, Weds 8:00pm - 8:15pm, Weds 8:20pm - 8:35pm, Tues 6:00pm - 6:15pm, Tues 6:40pm - 6:55pm, Weds 9:40pm - 9:55pm"
1/17/2022,dmoretonn@1und1.de,edalemann,gfaransn,bburchettn,kwarnockn,iszymanekn,vstrothersn,rbennittn,boloshkinn,gomoylann,"Tues 8:00pm - 8:15pm, Weds 7:00pm - 7:15pm, Tues 11:00am - 11:15am"
6/9/2021,tnannininio@microsoft.com,dorwino,jpenberthyo,lfoldo,hdorsayo,mdigiacomettinoo,esymmso,setucko,ycoarsero,ocantrello,"Weds 5:20pm - 5:35pm, Tues 8:40pm - 8:55pm, Tues 8:20pm - 8:35pm, Weds 5:00pm - 5:15pm, Weds 8:20pm - 8:35pm, Tues 6:00pm - 6:15pm, Weds 7:40pm - 7:55pm, Weds 9:00pm - 9:15pm, Weds 2:20pm - 2:35pm, Weds 5:40pm - 5:55pm, Weds 7:00pm - 7:15pm, Tues 10:20am - 10:35am, Tues 7:40pm - 7:55pm, Tues 5:10pm - 5:25pm, Weds 9:40pm - 9:55pm, Tues 6:20pm - 6:35pm, Tues 10:00am - 10:15am, Tues 4:30pm - 4:45pm, Weds 9:20pm - 9:35pm, Tues 8:00pm - 8:15pm, Weds 2:40pm - 2:55pm, Weds 8:00pm - 8:15pm, Tues 11:00am - 11:15am, Tues 10:40am - 10:55am, Tues 11:20am - 11:35am"
2/11/2022,jobroganep@wunderground.com,lschallp,ddeverickp,eleninp,pduforep,ihalsteadp,heitep,lgothardp,cbennittp,dmannoochp,"Tues 10:40am - 10:55am, Tues 4:30pm - 4:45pm, Tues 11:00am - 11:15am, Tues 7:20pm - 7:35pm, Weds 9:20pm - 9:35pm, Weds 2:20pm - 2:35pm"
7/2/2021,wtregidgoq@tinypic.com,haloshkinq,chodgesq,fduffyq,hgutowskaq,gbowleq,cnangleq,ahehlq,bmessomq,tstockingsq,Tues 8:00pm - 8:15pm
8/30/2021,vnottramr@so-net.ne.jp,sfisbburner,hnovillr,aconybearr,amundenr,freinardr,mlaileyr,mdavidekr,eofairyr,mnelmesr,"Tues 4:30pm - 4:45pm, Tues 7:00pm - 7:15pm, Tues 5:10pm - 5:25pm, Tues 5:10pm - 5:25pm, Weds 5:20pm - 5:35pm, Weds 7:20pm - 7:35pm, Weds 7:40pm - 7:55pm, Weds 2:00pm - 2:15pm"
8/28/2021,dshergolds@zdnet.com,lhendrichss,stungates,cloutheanes,mrookesbys,dfawdrys,kgyrgorwicxs,rbrummells,snickolls,cbreffitts,"Tues 8:20pm - 8:35pm, Weds 7:40pm - 7:55pm, Tues 8:40pm - 8:55pm, Tues 6:20pm - 6:35pm, Weds 2:20pm - 2:35pm"
4/21/2021,jkimberlyt@washingtonpost.com,pmikalskit,nsparshottt,ghundalt,aabbotsont,apostint,cumfreyt,bcraigmylet,cunwint,sstrutleyt,"Tues 7:20pm - 7:35pm, Tues 4:50pm - 5:05pm, Weds 8:00pm - 8:15pm, Weds 2:40pm - 2:55pm, Weds 9:20pm - 9:35pm, Weds 2:00pm - 2:15pm, Weds 5:20pm - 5:35pm, Tues 6:40pm - 6:55pm, Tues 7:40pm - 7:55pm, Tues 10:20am - 10:35am, Weds 8:40pm - 8:55pm, Weds 9:00pm - 9:15pm, Weds 8:20pm - 8:35pm, Weds 7:20pm - 7:35pm, Tues 6:00pm - 6:15pm, Weds 9:40pm - 9:55pm, Tues 11:00am - 11:15am, Tues 8:20pm - 8:35pm, Tues 7:00pm - 7:15pm, Tues 10:40am - 10:55am, Weds 5:40pm - 5:55pm, Tues 5:10pm - 5:25pm"
8/7/2021,acausieru@mysql.com,bmonelliu,ddecortu,ayallopu,jwortsu,fmarciskewskiu,jgregsonu,pnuttenu,mbruhnkeu,whapsu,"Tues 10:40am - 10:55am, Weds 8:00pm - 8:15pm, Tues 10:00am - 10:15am, Tues 7:40pm - 7:55pm, Tues 8:40pm - 8:55pm, Tues 8:00pm - 8:15pm, Tues 4:30pm - 4:45pm, Tues 11:00am - 11:15am, Weds 2:00pm - 2:15pm, Tues 5:10pm - 5:25pm, Weds 7:40pm - 7:55pm, Tues 5:10pm - 5:25pm, Weds 7:00pm - 7:15pm, Tues 10:20am - 10:35am"
4/21/2021,esabbinv@kickstarter.com,aloddyv,krubinchikv,rbyrev,cblaydesv,zgalvanv,gjosephyv,cgeraldov,lhillenv,pspurdensv,"Tues 5:10pm - 5:25pm, Weds 9:20pm - 9:35pm, Weds 7:20pm - 7:35pm, Tues 8:20pm - 8:35pm, Weds 2:40pm - 2:55pm, Tues 7:40pm - 7:55pm, Tues 11:00am - 11:15am, Tues 7:20pm - 7:35pm, Tues 6:00pm - 6:15pm, Weds 7:00pm - 7:15pm, Weds 8:00pm - 8:15pm, Tues 8:00pm - 8:15pm, Tues 6:20pm - 6:35pm, Tues 10:00am - 10:15am, Weds 7:40pm - 7:55pm, Weds 5:20pm - 5:35pm, Weds 9:40pm - 9:55pm, Tues 10:40am - 10:55am, Tues 8:40pm - 8:55pm, Tues 6:40pm - 6:55pm, Weds 8:20pm - 8:35pm, Tues 4:50pm - 5:05pm, Weds 2:20pm - 2:35pm"
7/10/2021,afyshw@psu.edu,lautinw,bchristleyw,jwilkennsonw,jgreendalew,vdouganw,nmcdyerw,acosinsw,osoughtonw,nlerouxw,"Tues 10:40am - 10:55am, Weds 8:20pm - 8:35pm, Tues 8:20pm - 8:35pm, Weds 7:40pm - 7:55pm, Tues 7:40pm - 7:55pm, Tues 7:00pm - 7:15pm, Weds 9:20pm - 9:35pm, Weds 2:00pm - 2:15pm, Tues 6:20pm - 6:35pm, Weds 9:40pm - 9:55pm, Weds 7:00pm - 7:15pm"
2/3/2022,vrollx@nih.gov,jplackstonex,bcreerx,llippittx,bblasiox,mkettlex,vtrevorx,afessbyx,mhousemanx,btatherx,"Weds 2:20pm - 2:35pm, Weds 9:20pm - 9:35pm, Tues 7:00pm - 7:15pm, Tues 5:10pm - 5:25pm, Tues 4:50pm - 5:05pm, Tues 8:40pm - 8:55pm, Weds 9:40pm - 9:55pm"
8/30/2021,dcullityy@redcross.org,rgarlickey,avalenciay,ajosefsy,lchitteyy,pmanharey,cheriony,gverniy,aliklyy,gdartony,"Tues 8:40pm - 8:55pm, Tues 11:20am - 11:35am, Weds 7:00pm - 7:15pm, Weds 8:40pm - 8:55pm, Weds 9:40pm - 9:55pm, Tues 10:40am - 10:55am, Weds 5:40pm - 5:55pm, Weds 9:00pm - 9:15pm"
12/26/2021,nomrodz@wix.com,mgorlerz,heverallz,gdrillingcourtz,ahaugheyz,lkellsz,rfelminghamz,dyeomansz,edollz,ggriersonz,"Weds 8:00pm - 8:15pm, Tues 6:20pm - 6:35pm, Tues 7:20pm - 7:35pm, Weds 7:20pm - 7:35pm, Tues 10:20am - 10:35am, Tues 6:40pm - 6:55pm, Weds 2:40pm - 2:55pm, Tues 5:10pm - 5:25pm, Weds 5:00pm - 5:15pm, Weds 5:20pm - 5:35pm, Tues 8:20pm - 8:35pm, Weds 7:00pm - 7:15pm, Weds 2:20pm - 2:35pm, Weds 2:00pm - 2:15pm, Tues 10:40am - 10:55am, Tues 4:50pm - 5:05pm, Weds 5:40pm - 5:55pm"
8/20/2021,kspendlove10@about.com,ksagerson10,ctrevena10,imcelhinney10,gcastelin10,hbutland10,vsyrad10,rburtwistle10,gdedrick10,cbernuzzi10,"Weds 9:40pm - 9:55pm, Tues 8:40pm - 8:55pm, Tues 8:20pm - 8:35pm, Weds 8:20pm - 8:35pm, Weds 2:20pm - 2:35pm, Tues 6:40pm - 6:55pm, Tues 11:20am - 11:35am, Weds 7:20pm - 7:35pm, Weds 9:00pm - 9:15pm, Tues 4:50pm - 5:05pm, Tues 7:20pm - 7:35pm, Tues 4:30pm - 4:45pm, Weds 7:40pm - 7:55pm, Weds 2:40pm - 2:55pm, Weds 9:20pm - 9:35pm, Tues 8:00pm - 8:15pm, Tues 6:00pm - 6:15pm, Tues 5:10pm - 5:25pm"
11/10/2021,icelier11@google.cn,mleale11,mbeeho11,gswain11,gratchford11,waleixo11,ssteanyng11,jskain11,dwonter11,tmonelli11,Tues 4:30pm - 4:45pm
3/6/2021,cearey12@epa.gov,bmurty12,lclendennen12,gunworth12,tlyford12,cbradburne12,spietesch12,cgrowden12,trecke12,acurragh12,"Tues 4:30pm - 4:45pm, Weds 7:20pm - 7:35pm, Weds 5:40pm - 5:55pm, Weds 8:20pm - 8:35pm, Tues 8:20pm - 8:35pm, Weds 5:00pm - 5:15pm, Weds 7:40pm - 7:55pm, Tues 10:00am - 10:15am, Weds 2:20pm - 2:35pm, Tues 4:50pm - 5:05pm, Tues 7:40pm - 7:55pm"
6/18/2021,lwearn13@etsy.com,okimpton13,cglazyer13,sklimek13,icregg13,rtouzey13,qstrawbridge13,agalero13,cheake13,fstuckford13,"Weds 5:20pm - 5:35pm, Tues 10:40am - 10:55am, Weds 7:20pm - 7:35pm, Tues 6:40pm - 6:55pm, Weds 8:40pm - 8:55pm, Tues 7:20pm - 7:35pm, Tues 4:30pm - 4:45pm, Weds 9:00pm - 9:15pm, Tues 4:50pm - 5:05pm, Tues 8:00pm - 8:15pm, Weds 2:00pm - 2:15pm, Weds 5:00pm - 5:15pm, Weds 7:00pm - 7:15pm, Weds 9:20pm - 9:35pm, Weds 8:00pm - 8:15pm, Tues 8:40pm - 8:55pm, Weds 2:40pm - 2:55pm"
